Date,Close,Volume
2008-05-21,100.0,1707184
2008-05-22,100.0,177328
2008-05-23,100.0,320259
2008-05-26,100.0,163014
2008-05-27,100.0,127112
2008-05-29,100.0,429490
2008-05-30,100.0,108756
2008-06-02,100.0,1137162
2008-06-03,100.0,58307
2008-06-04,100.0,374802
2008-06-05,100.0,213302
2008-06-06,100.0,155146
2008-06-09,100.0,122377
2008-06-10,100.0,909188
2008-06-11,100.0,239505
2008-06-12,100.0,108445
2008-06-13,100.0,8411
2008-06-16,100.0,46241
2008-06-17,100.0,67298
2008-06-18,100.0,40792
2008-06-19,100.0,31358
2008-06-20,100.0,505092
2008-06-23,100.0,24506
2008-06-24,100.0,1001239
2008-06-25,100.0,16053
2008-06-26,100.0,20810
2008-06-27,100.0,13401
2008-06-30,100.0,3488253
2008-07-01,100.0,28798
2008-07-02,100.0,4985342
2008-07-03,100.0,23957
2008-07-04,100.0,4067196
2008-07-07,100.0,1118674
2008-07-08,100.0,74353
2008-07-09,100.0,17003
2008-07-10,100.0,20567
2008-07-14,100.0,102439
2008-07-15,100.0,19857
2008-07-16,100.0,52212
2008-07-17,100.0,98336
2008-07-18,100.0,151
2008-07-21,100.0,40351
2008-07-22,100.0,16671
2008-07-24,100.0,2878
2008-07-25,100.0,1991
2008-07-28,100.0,23037
2008-07-29,100.0,1041
2008-07-30,100.0,12948
2008-07-31,100.0,2162
2008-08-01,100.0,1173
2008-08-04,100.0,476
2008-08-06,100.0,1002
2008-08-07,100.0,56
2008-08-08,100.0,700
2008-08-11,100.0,1000
2008-08-12,100.0,3300
2008-08-14,100.0,996
2008-08-15,100.0,5021
2008-08-18,100.0,103
2008-08-20,100.0,136
2008-08-21,100.0,1100
2008-08-22,100.0,364
2008-08-26,100.0,179
2008-08-28,100.0,399
2008-09-02,100.0,4
2008-09-04,100.0,3500
2008-10-20,100.0,25129
2008-10-21,100.0,15245
2008-10-22,100.0,19379
2008-10-23,100.0,21410
2008-10-24,100.0,20162
2008-10-27,100.0,20315
2008-10-28,100.0,158328
2008-10-29,100.0,503552
2008-10-30,100.0,519662
2008-10-31,100.0,193474
2008-11-03,100.0,217637
2008-11-04,100.0,110102
2008-11-05,100.0,300748
2008-11-06,100.0,449876
2008-11-07,100.0,510294
2008-11-10,100.0,338935
2008-11-11,100.0,145211
2008-11-12,100.0,116835
2008-11-13,100.0,100839
2008-11-14,100.0,196043
2008-11-17,100.0,86195
2008-11-18,100.0,94342
2008-11-19,100.0,67374
2008-11-20,100.0,70206
2008-11-21,100.0,39160
2008-11-24,100.0,505281
2008-11-25,100.0,24498
2008-11-27,100.0,15621
2008-11-28,100.0,20381
2008-12-01,100.0,22361
2008-12-02,100.0,16057
2008-12-03,100.0,23851
2008-12-04,100.0,13552
2008-12-05,100.0,14638
2008-12-08,100.0,3700
2008-12-09,100.0,21189
2008-12-10,100.0,15403
2008-12-11,100.0,200
2008-12-12,100.0,26908
2008-12-16,100.0,10498
2008-12-17,100.0,11468
2008-12-18,100.0,2760
2008-12-23,100.0,5000
2009-01-06,100.0,50
2009-01-09,100.0,96
2009-01-15,100.0,59
2009-01-20,100.0,1980
2009-01-21,100.0,1684
2009-01-22,100.0,793
2009-01-26,100.0,2000000
2009-01-27,100.0,3168
2009-01-29,100.0,1
2009-02-04,100.0,97
2009-02-10,100.0,57
2009-02-11,100.0,10000000
2009-02-13,100.0,101012
2009-02-16,100.0,51000
2009-02-17,100.0,3465
2009-02-18,100.0,500
2009-02-19,100.0,37000
2009-02-20,100.0,33593
