,Date,Close,Volume
60906,2025-01-23,214.0,538
60954,2025-01-24,214.0,608
61010,2025-01-27,210.97,4795
61066,2025-01-28,210.01,49507
61118,2025-01-29,213.99,19144
61174,2025-01-30,209.07,27711
61221,2025-01-31,211.99,504
61273,2025-02-03,209.36,9499
61325,2025-02-04,213.27,45531
61372,2025-02-05,210.25,12248
61421,2025-02-06,209.49,4916
61470,2025-02-07,210.28,39661
61526,2025-02-10,212.97,2078
61587,2025-02-11,219.83,139002
61642,2025-02-12,224.89,24365
61695,2025-02-13,224.0,11531
61746,2025-02-14,220.09,19168
61799,2025-02-17,222.0,2035
61854,2025-02-18,222.63,11505
61902,2025-02-19,222.67,22282
61956,2025-02-20,222.99,5169
62004,2025-02-21,213.36,3521
62061,2025-02-24,220.8,3890
62113,2025-02-25,221.69,5343
62167,2025-02-26,222.82,24362
62220,2025-02-27,218.74,4177
62268,2025-02-28,222.77,2444
62321,2025-03-06,214.55,40126
62370,2025-03-07,213.52,2382
62417,2025-03-10,216.36,434
62463,2025-03-11,214.32,9964
62510,2025-03-12,215.0,3400
62559,2025-03-13,212.27,38561
62604,2025-03-14,215.05,27643
62650,2025-03-17,216.82,98883
62697,2025-03-18,212.52,8738
62748,2025-03-19,215.95,1113
62793,2025-03-20,203.06,69843
62838,2025-03-21,214.99,468
62887,2025-03-24,214.97,1397
62935,2025-03-25,202.72,50448
62980,2025-03-26,209.98,7832
63022,2025-03-27,209.95,37652
63072,2025-03-28,201.01,37253
63120,2025-03-31,209.0,11673
63170,2025-04-01,200.02,40161
63214,2025-04-02,207.99,165778
63260,2025-04-03,210.94,150082
63311,2025-04-04,211.17,58677
63365,2025-04-07,197.92,73810
63418,2025-04-08,194.0,8772
63467,2025-04-09,191.0,3219
63515,2025-04-10,190.41,26606
63561,2025-04-11,203.73,10878
63612,2025-04-14,203.66,79
63663,2025-04-15,195.01,3195
63706,2025-04-16,193.0,19565
63753,2025-04-17,193.12,932
63801,2025-04-18,192.78,6856
63849,2025-04-21,198.0,174287
63901,2025-04-22,198.23,24242
63946,2025-04-23,200.3,17338
63991,2025-04-24,200.0,30012
64033,2025-04-25,206.84,21140
64077,2025-04-28,205.54,5186
64123,2025-04-29,201.73,8242
64172,2025-04-30,200.09,90478
64218,2025-05-01,204.99,5726
64271,2025-05-02,204.98,29419
64321,2025-05-05,204.0,38003
64369,2025-05-06,203.97,94224
